model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
GFDL,rlutcs,2.09E+11,4.56E+11,1.43E+11,8.13E+11,66260695074,9.32E+11,1.464,8.917,shp-ind-shift-1950
GFDL,rsutcs,1.37E+11,9.08E+11,7.11E+11,3.06E+11,-5.74E+11,9.58E+11,0.193,1.28,shp-ind-shift-1950
GFDL,net_rad,3.65E+11,2.77E+12,1.40E+12,2.61E+12,-1.03E+12,3.80E+12,0.262,2.039,shp-ind-shift-1950
GFDL,ICR,19362691736,2.95E+12,5.43E+11,2.75E+12,-5.24E+11,4.03E+12,0.036,5.427,shp-ind-shift-1950
GISS,rlut,7.13E+11,1.57E+12,89543801458,1.27E+12,6.23E+11,2.02E+12,7.963,114.07,shp-ind-shift-1950
GISS,rsut,2.90E+11,3.65E+12,1.25E+12,3.23E+12,-9.65E+11,4.87E+12,0.231,2.967,shp-ind-shift-1950
GISS,rlutcs,88248766868,4.64E+11,1.22E+11,4.17E+11,-33813682996,6.24E+11,0.723,4.531,shp-ind-shift-1950
GISS,rsutcs,7.13E+11,1.41E+11,8.56E+11,1.50E+11,-1.44E+11,2.06E+11,0.832,0.22,shp-ind-shift-1950
GISS,net_rad,1.00E+12,3.97E+12,1.16E+12,3.47E+12,-1.62E+11,5.27E+12,0.861,4.265,shp-ind-shift-1950
GISS,ICR,2.02E+11,4.00E+12,1.86E+11,3.49E+12,15461166564,5.31E+12,1.083,29.583,shp-ind-shift-1950
NorESM2,rlut,1.90E+12,6.88E+12,1.95E+12,6.14E+12,-47537900551,9.22E+12,0.976,4.682,shp-ind-shift-1950
NorESM2,rsut,1.21E+11,5.87E+12,76751578399,7.05E+12,44071652175,9.17E+12,1.574,163.494,shp-ind-shift-1950
NorESM2,rlutcs,3.17E+11,1.28E+12,2.94E+11,1.22E+12,22455300998,1.77E+12,1.076,6.249,shp-ind-shift-1950
NorESM2,rsutcs,3.66E+11,5.69E+11,3.74E+11,1.27E+11,-8360200311,5.83E+11,0.978,1.556,shp-ind-shift-1950
NorESM2,net_rad,2.02E+12,9.05E+12,2.03E+12,9.35E+12,-3466248376,1.30E+13,0.998,6.416,shp-ind-shift-1950
NorESM2,ICR,1.97E+12,9.15E+12,1.36E+12,9.43E+12,6.15E+11,1.31E+13,1.454,12.143,shp-ind-shift-1950
